RelationshipID,PartnerName,PartnerType,RelationshipStage,InitiationDate,ExpectedLaunchDate,Status,KeyContact,ProductsOffered,EstimatedAnnualRevenue_Thousands,Q1_Progress,Q2_Progress,Q3_Progress,Q4_Progress
REL001,State Street Investment Management,Asset Manager,Contract Finalization,2025-09-15,2026-03-31,Active,Michael Stevens,"Custody, Reporting, Advisory",1250,Contracts under review,,,
REL002,Capital Group,Asset Manager,Partnership Active,2025-08-01,2025-12-15,Active,Jennifer Park,"Fund Distribution, Analytics",890,Pipeline development ongoing,,,
REL003,Mercury Broker Dealer,Broker Dealer,Partnership Active,2025-11-01,2026-03-15,Active,David Thompson,"Trading, Clearing, Custody",675,Launched March 2026 - onboarding first clients,,,
REL004,Fidelity Institutional,Custodian,Discovery,2026-01-10,2026-09-30,Active,Rebecca Liu,"Platform Integration, Trading",1450,Initial scoping meetings,,,
REL005,BNY Mellon Pershing,Custodian,Proposal Stage,2025-12-05,2026-06-15,Active,Thomas Anderson,"Custody, Clearing, Technology",1120,Proposal submitted 2026-01-15,,,
REL006,Charles Schwab Advisor Services,Platform Provider,Contract Finalization,2025-10-20,2026-04-30,Active,Amanda Foster,"Platform Access, Client Services",980,Contract terms agreed - legal review in progress,,,
REL007,TD Ameritrade Institutional,Platform Provider,Discovery,2026-01-25,2026-10-15,Active,Kevin Martinez,"Technology, Trading, Custody",740,Needs assessment phase,,,
REL008,LPL Financial,Broker Dealer,Partnership Active,2025-07-15,2025-11-30,Active,Sarah Johnson,"Distribution, Advisory, Custody",1580,Launched successfully Q4 2025,,,
REL009,Raymond James,Full Service Broker,Contract Finalization,2025-11-15,2026-04-15,Active,Brian Cooper,"Wealth Management, Advisory",1340,Legal review ongoing,,,
REL010,Morgan Stanley Wealth Management,Wealth Manager,Discovery,2026-02-01,2026-11-30,Active,Elizabeth Wang,"Platform, Technology, Services",2100,Exploratory conversations,,,
REL011,Vanguard Institutional,Asset Manager,Partnership Active,2025-09-20,2026-01-31,Active,Richard Bennett,"Fund Access, Advisory, Reporting",1890,Operational since Feb 2026 - 12 clients onboarded,,,
REL012,BlackRock Institutional,Asset Manager,Proposal Stage,2026-01-15,2026-07-31,Active,Laura Martinez,"Fund Platform, Analytics, Research",1650,Proposal review ongoing with investment committee,,,
